bank_line_id,confidence,method,note,order_id,settlement_id
bl_7946905675,1.0,exact,UTR + amount matched exactly,ORD1002,stl_4423720279
bl_5578531558,1.0,exact,UTR + amount matched exactly,ORD1004,stl_8334413227
bl_8515312385,1.0,exact,UTR + amount matched exactly,ORD1005,stl_5539784435
bl_4245863187,0.9,fuzzy,"UTR matched; amount differs by 1.6%, within fee tolerance",ORD1006,stl_1844054145
bl_9925784862,1.0,exact,UTR + amount matched exactly,ORD1008,stl_6655612876
bl_8165326342,1.0,exact,UTR + amount matched exactly,ORD1013,stl_6607934866
bl_8179651689,0.9,fuzzy,"UTR matched; amount differs by 2.2%, within fee tolerance",ORD1014,stl_6371682491
bl_8251352029,1.0,exact,UTR + amount matched exactly,ORD1015,stl_4620140258
bl_9316908230,1.0,exact,UTR + amount matched exactly,ORD1016,stl_3969650282
bl_1971704548,1.0,exact,UTR + amount matched exactly,ORD1017,stl_3946163882
bl_6802929604,1.0,exact,UTR + amount matched exactly,ORD1018,stl_7079482301
bl_4721165022,1.0,exact,UTR + amount matched exactly,ORD1019,stl_8970835344
bl_7607316151,1.0,exact,UTR + amount matched exactly,ORD1020,stl_5849704205
bl_5910399254,1.0,exact,UTR + amount matched exactly,ORD1023,stl_9287330713
bl_2175908867,1.0,exact,UTR + amount matched exactly,ORD1024,stl_5351675019
bl_5836272098,1.0,exact,UTR + amount matched exactly,ORD1025,stl_6554201278
bl_4936652013,1.0,exact,UTR + amount matched exactly,ORD1026,stl_1156460994
bl_7338167952,0.9,fuzzy,"UTR matched; amount differs by 2.6%, within fee tolerance",ORD1027,stl_8907895495
bl_2335522921,1.0,exact,UTR + amount matched exactly,ORD1028,stl_7795121912
bl_6282892493,1.0,exact,UTR + amount matched exactly,ORD1029,stl_9883793280
bl_8306805167,1.0,exact,UTR + amount matched exactly,ORD1030,stl_9582781247
bl_9878676364,1.0,exact,UTR + amount matched exactly,ORD1032,stl_4444801754
bl_1576955318,1.0,exact,UTR + amount matched exactly,ORD1033,stl_8483283108
bl_9432311674,1.0,exact,UTR + amount matched exactly,ORD1036,stl_7281971816
bl_8151390077,1.0,exact,UTR + amount matched exactly,ORD1037,stl_1498550247
bl_2624094166,1.0,exact,UTR + amount matched exactly,ORD1038,stl_8713939499
bl_4178963114,1.0,exact,UTR + amount matched exactly,ORD1039,stl_3462126327
bl_7128865413,1.0,exact,UTR + amount matched exactly,ORD1040,stl_2496871691
